William Abelyan
Arthur Abraham
Miguel Acosta
Tomasz Adamek
Ola Afolabi
Joachim Alcine
Devon Alexander
José Alfaro
Muhammad Ali
Canelo Álvarez
Elvis Álvarez
Saúl Álvarez
Lou Ambers
Sammy Angott
Alfredo Angulo
Vito Antuofermo
Fred Apostoli
Jorge Arce
Alexis Argüello
Henry Armstrong
Mike Arnaoutis
Chris Arreola
Lenin Arroyo
Mike Alvarado
Alex Arthur
Amin Asikainen
Abe Attell
Emanuel Augustus
Ray Austin
Bonifacio Ávila
Alexander Awdijan
Selcuk Aydin
Billy Backus
Tony Badea
Buddy Baer
Max Baer
Joe Baksi
Bob Baker
Carlos Baldomir
Carlos Balderas
Tony Baltazar
Gary Balletto
Marco Antonio Barrera
Miguel Barrera
Monte Barrett
Riddick Bowe
Yan Bartelemí
Carmen Basilio
Brian Battease
Roberto Benitez
Wilfred Benítez
Nigel Benn
Robert Berridge
Andre Berto
Markus Beyer
Riddick Bowe
Timothy Bradley
Adam Braidwood
Livingstone Bramble
Lamon Brewster
Shannon Briggs
Kell Brook
Lucas Browne
Frank Bruno
Lucian Bute
Chris Byrd
Danilo Cabrera
Robson Conceição
Ivan Calderón
John Caldwell
Victor Luvi Callejas
Joe Calzaghe
Myke Carvalho
Terence Crawford
David Haye
Denton Daley
Domingo Damigella
Vic Darchinyan
Alberto Davila
Gervonta Davis
Chad Dawson
Daniel Dawson
James DeGale
Oscar De La Hoya
Carlos De León
Tony DeMarco
Jack "Nonpareil" Dempsey
Jack Dempsey
Adrian Diaconu
Kid Diamond
David Díaz
Juan Díaz
Nate Diaz
Nick Diaz
Andre Dirrell
George Dixon
Mircea Dobrescu
David Dolan
Nonito Donaire
Leonard Doroftei
Stipe Drviš
John Duddy
Lee Duncan
Bernard Dunne
Johnny Dundee
Jack Dupree
Roberto Durán
Yvon Durelle
Graham Earl
Howard Eastman
Hiroyuki Ebihara
Joe Egan
Wayne Elcock
Jimmy Ellis
Lester Ellis
Flash Elorde
Carlos Eluaiza
Zsolt Erdei
Joe Erskine (American boxer);
Joe Erskine (Welsh boxer)
Alfredo Escalera
Sixto Escobar
Luisito Espinosa
David Estrada
Jason Estrada
Clifford Etienne
Chris Eubank
Alfredo Evangelista
Pål Arne Fagernes
Johnny Famechon
Anthony Farnell
Tommy Farr
Jeff Fenech
Tye Fields
James Figg
Chris Finnegan
Kevin Finnegan
Luis Firpo
BJ Flores
Félix Flores
Bob Fitzsimmons
George Foreman
Yuri Foreman
Vernon Forrest
Ricardo Fortaleza
Bob Foster
Jeff Fraza
Joe Frazier
Marvis Frazier
Acelino Freitas
Arturo Frias
Carl Froch
Zora Folley
Al Ford
Ryan Ford
Gene Fullmer
Gene Fullmer
Fred Fulton
Takeshi Fuji
Ali Funeka
Hughie Fury
Tommy Fury
Tyson Fury
Tony Galento
Andras Galfi
Víctor Galíndez
Esteban Gallard
Julio Gamboa
Yuriorkis Gamboa
Scott Gammer
Joe Gans
Víctor Galíndez
Alejandro García
Alex Garcia
Danny García
Julio César García
Mikey Garcia
Robert Garcia
Roberto García
Arturo Gatti
Khaosai Galaxy
Kaokor Galaxy
Kid Gavilán
Joey Giardello
Julio Gervacio
Daniel Geale
Khoren Gevor
Christian Giantomassi
Joey Giardello
Mike Gibbons
Tommy Gibbons
Vyacheslav Glazkov
Rodney Glunder
George Godfrey (boxer born 1853)
George Godfrey (boxer born 1897)
Matt Godfrey
Arturo Godoy
Alfonso Gomez
Juan Carlos Gomez
Michael Gomez
Wilfredo Gómez
Humberto González
Roman González
Z Gorres
Herol Graham
Howard Grant
Jordan Grant
Rocky Graziano
Harry Greb
Allan Green
Danny Green
Dave Green
Mitch Green
Harold Grey
Emile Griffith
Robert Guerrero
Bobby Gunn
Dominick Guinn
Yoko Gushiken
Joan Guzmán
Juan Guzman
Marvin Hagler
Morrade Hakkar
Jim Hall
Matthew Hall
Tsuyoshi Hamada
Naseem Hamed
Mustafa Hamsho
Devin Haney
Masahiko Harada
Vivian Harris
Audley Harrison
Scott Harrison
Marvin Hart
Hozumi Hasegawa
Kiyoshi Hatanaka
Takanori Hatakeyama
Gene Hatcher
Matthew Hatton
Ricky Hatton
David Haye
Thomas Hearns
Tom Heeney
Robert Helenius
Pete Herman
Carlos Hernández
Yoan Pablo Hernandez
Richel Hersisia
Alex Hilton
Dave Hilton Jr.
Dave Hilton Sr.
Matthew Hilton
Joe Hipp
Akinobu Hiranaka
Don Holmes
Larry Holmes
Evander Holyfield
Kendall Holt
Lloyd Honeyghan
Bernard Hopkins
Demetrius Hopkins
Keitaro Hoshino
Filip Hrgović
Marco Huck
Ike Ibeabuchi
Sultan Ibragimov
Timur Ibragimov
Hiroki Ioka
Guts Ishimatsu
Anthony Joshua
Beau Jack
Rafal Jackiewicz
Julian Jackson
Peter Jackson
Rene Jacquot
Leen Jansen
James J. Jeffries
Lew Jenkins
Esteban De Jesús
Eder Jofre
Chris John
Ingemar Johansson
Harold Johnson
Jack Johnson
Kevin Johnson
Leavander Johnson
Martin John
Marvin Johnson
Roy Jones Jr.
Rocky Juarez
Josiah Judah
Yoel Judah
Zab Judah
Ener Julio
Jorge Eliecer Julio
Joel Julio
János Kajdi
Virgil Kalakoda
Georgi Kandelaki
Rocky Kansas
Daiki Kameda
Kouki Kameda
Roman Karmazin
Michael Katsidis
Travis Kauffman
Hiroshi Kawashima
Katsushige Kawashima
Archie Kemp
Ronan Keenan
Colin Kenna
Michael Kenny
Mikkel Kessler
Stanley Ketchel
Amir Khan
Jake Kilrain
Ji-Hoon Kim
Duk Koo Kim
Ji-Won Kim
Leva Kirakosyan
Bep van Klaveren
Piet van Klaveren
Ole Klemetsen
Vitali Klitschko
Wladimir Klitschko
Celes Kobayashi
Hiroshi Kobayashi
Royal Kobayashi
Pawel Kolodziej
Takashi Koshimoto
Armand Krajnc
Luan Krasniqi
Martin Kristjansen
Masashi Kudo
Akhil Kumar
Eagle Kyowa
Santos Laciar
Jeff Lacy
Ismael Laguna
Kirkland Laing
Donny Lalonde
Jake LaMotta
Sam Langford
Juan Laporte
Denis Lebedev
Andy Lee
Jesse James Leija
Carlos De León
Benny Leonard
Sugar Ray Leonard
Lennox Lewis
Sergei Liakhovich
Rafael Limón
Jorge Linares
Moos Linneman
Sonny Liston
Little Dado
Nicolino Locche
Duilio Loi
Vasyl Lomachenko
Danny Lopez
Ricardo Lopez
Joe Louis
Tommy Lowne
Sammy Luftspring
Jorge Luján
Ron Lyle
Benny Lynch
Kaizer Mabuza
Enzo Maccarinelli
Marcos Rene Maidana
Charlie Magri
Edwin Malave
Paul Malignaggi
Jakob Malz
Saoul Mamby
Lenny Mancini
Ray Mancini
Peter Manfredo
Rocky Marciano
Antonio Margarito
Juan Manuel Márquez
Rafael Márquez
Sergio Martínez
Lloyd Marshall
Bob Martin
Vanes Martirosyan
